replicate,pos,c_max,L,A,r2,rmse,status,r0
replicate_2,pos0,40.45203982933037,107.46472770861412,0.004403840068110972,0.9061948893689072,3.006102448019629,success,15.068992985773253
replicate_2,pos1,28.302290026001472,53.73236850649358,0.004729316530013046,0.9464440907699454,1.5808279326171701,success,14.541218790492401
replicate_2,pos2,35.289697408816046,51.95301461038962,0.0031956145893860927,0.9654892928785079,1.6612878573591596,success,17.68979509404934
replicate_2,pos3,45.0936970250825,51.953014610389694,0.0035119005226329912,0.9499802737770305,2.587461484822474,success,16.874421662180538
replicate_2,pos4,42.61715013124116,51.95301461038962,0.005359332785019398,0.9576317652693274,2.0878612705231965,success,13.65980933347497
replicate_2,pos5,37.42262014686319,53.732368506493515,0.002783823847027328,0.9342943061752624,2.5522610317312946,success,18.953050710348514
replicate_2,pos6,39.81469176592894,53.732368506493536,0.0031449714104178376,0.9508368290049731,2.2801401331221336,success,17.831654839936302
replicate_2,pos7,36.686333873306836,53.732368506493515,0.003986412359685963,0.9488670957792009,2.0704244203435356,success,15.838311845073102
replicate_2,pos8,37.84550498092376,53.73236850649352,0.004577314135278405,0.9341974785359034,2.397078498011187,success,14.780687693782493
replicate_2,pos9,41.547373663909845,53.7323685064936,0.004923347796325446,0.9642536798299999,1.8722947648899615,success,14.251800744051375
replicate_3,pos10,31.71103131047828,51.953014610416574,0.004168199463221754,0.9498607383293309,1.7528942922499167,success,15.489084652925467
replicate_3,pos11,41.25259526774386,58.156012145928216,0.002598806208484566,0.9714806404763168,1.6931287597581584,success,19.616117406739395
replicate_3,pos12,43.829136083188324,107.46473701297236,0.0014601222812909665,0.950099799530023,2.2250144088097024,success,26.170100223128156
replicate_3,pos13,42.40407063469387,107.46473701298699,0.0039111539186590955,0.8645289321830502,3.7869257087511787,success,15.989966220927032
replicate_3,pos14,38.46589067381645,107.46473701277924,0.0044629134265035866,0.9143852901919667,2.684619593590718,success,14.968930392117285
replicate_3,pos15,38.41855778522574,53.73236850649788,0.004235938569269581,0.9544754661918813,2.005640294719559,success,15.364738507166555
replicate_3,pos16,40.96862393115623,53.73236850649352,0.003382351962805613,0.9681862398652925,1.831751827885052,success,17.194541559246886
replicate_3,pos17,37.549523912433216,53.73236850649352,0.005464509075802633,0.9714656279853208,1.46438593843928,success,13.527714351113412
replicate_3,pos18,38.96960725224014,53.73236850649358,0.0042892620411959115,0.9577362211075618,1.9359493578051892,success,15.268933738833898
replicate_3,pos19,39.671537198349974,53.732368506493515,0.0024531506531608317,0.9788604558740992,1.4684697794922101,success,20.190073038055125
replicate_3,pos20,41.82754348542535,51.953014610390106,0.004449139843266915,0.9634780527458305,1.9409042270514882,success,14.99208278712724
replicate_5,pos0,20.333624375184915,63.56112320714877,1.000000105544358e-12,0.8152340946932037,2.188999054141544,success,999999.9472278252
replicate_5,pos1,29.827594422450105,77.6295731967063,0.0009374599506031939,0.916357816155656,1.9652390047485173,success,32.660560863632696
replicate_5,pos10,33.221082846162474,107.46473701298164,0.000889578836306433,0.8576587961761253,2.815456813309363,success,33.52801011923086
replicate_5,pos11,39.240972237659605,107.46473697761151,0.001423815322194561,0.8782575909610861,3.208794672788482,success,26.501665549361327
replicate_5,pos12,39.653685772756496,107.46473701298231,0.0014445359632742631,0.8551556036370528,3.5502187901297257,success,26.310907073534707
replicate_5,pos2,24.079570044127088,67.23834995368051,0.0006619026458511257,0.8584179760364206,2.2406593098103094,success,38.868961869264695
replicate_5,pos3,26.64584383059885,69.50415505719964,0.0004822609087994052,0.9039599740889989,1.9477696452562916,success,45.53642899640757
replicate_5,pos4,33.16013986925295,107.46473701298424,0.0009923066843342617,0.8405372870148623,2.983551967190662,success,31.745125006007356
replicate_5,pos5,36.187115142546126,107.4647370129854,0.0008949666721904727,0.8850470982242642,2.729274963747783,success,33.4269359014137
replicate_5,pos6,32.66805992800956,83.32435215507755,0.0017621405064334407,0.9398358640831015,1.853832776664925,success,23.822082961995566
replicate_5,pos7,38.919459162947845,78.57896720492418,0.001416734671117594,0.9290235264318301,2.4264606944437657,success,26.56780890470571
replicate_5,pos8,33.682181078769126,90.2075393707495,0.000674547086801226,0.8839410962260927,2.5347512364460316,success,38.502937512495805
replicate_5,pos9,31.51551448146526,75.40553849673708,0.0008559659322084554,0.8876478239564882,2.48282397071179,success,34.17997651939969
