replicate,pos,c_max,L,A,r2,rmse,status,r0
replicate_2,pos0,37.61296841437485,43.75000000000001,0.002778091703892125,0.9489448122066054,2.346071121327327,success,18.972593912614883
replicate_2,pos1,26.862110154630905,45.25000000000001,0.0034363908193932747,0.9433684076403899,1.7088266767808689,success,17.05880971972137
replicate_2,pos2,33.510288369566354,43.75000000000117,0.0027094951793656206,0.9701833110667802,1.5428830755924634,success,19.211258186309692
replicate_2,pos3,42.69494067534666,43.75000000000006,0.0023973593271158188,0.964226882109536,2.218968784930116,success,20.423653488039132
replicate_2,pos4,39.15955327016813,43.75000000000001,0.004882739356047579,0.9537942349570677,2.1744913825341965,success,14.310942244509244
replicate_2,pos5,34.32267047750401,45.25000000000001,0.0015399142268399276,0.9495899788168362,2.2174158029976834,success,25.483069245197314
replicate_2,pos6,36.93455680584995,45.2500000000012,0.002446522504363539,0.9491821313518055,2.3221170300533927,success,20.217404135982758
replicate_2,pos7,33.900546903436684,43.75000000000052,0.0027717283860015144,0.9515906842577234,2.0424648178327733,success,18.99436001247521
replicate_2,pos8,35.36190945959943,45.25000000000001,0.0039311278240714955,0.9333832136532806,2.4532241043797636,success,15.949292295654034
replicate_2,pos9,39.12783733646388,45.25000000000002,0.00408240818377237,0.9618694211187726,1.992509575894166,success,15.650989029845716
replicate_3,pos10,29.757300341368488,43.75000000000001,0.003370292711118508,0.9493669923367916,1.7824891632806836,success,17.225276004343378
replicate_3,pos11,37.618085480565405,43.75000000000001,0.0040988689127878985,0.9571578393235979,2.0447810613202004,success,15.619530855964564
replicate_3,pos12,37.95025858219158,43.75000000000001,0.0021581326629443367,0.9546898658502785,2.2664032938069165,success,21.525880804415074
replicate_3,pos13,39.77360795629147,43.75000000000001,0.003004492008655411,0.9748849489075823,1.667469551770294,success,18.243765167359218
replicate_3,pos14,35.5999302070181,43.750000000000014,0.00315056630665821,0.9510496190341508,2.1364075882296087,success,17.81581473684604
replicate_3,pos15,36.32522025670172,45.25000000000001,0.0035500913829280304,0.9607022187361239,1.9120867134430373,success,16.78341115080937
replicate_3,pos16,37.78320212886333,43.75000000000002,0.0027746746134475215,0.976962356397485,1.520152374396892,success,18.984272961576245
replicate_3,pos17,35.70762542895116,43.75000000000132,0.004559897268266803,0.9743279928039286,1.4436345559696444,success,14.80888875882134
replicate_3,pos18,35.55791913658165,43.75000000000001,0.003732117777812239,0.955790899533947,1.9589072659450748,success,16.369006819910066
replicate_3,pos19,37.45638567489268,43.750000000000576,0.003270967875719947,0.9643397515566716,1.8811223560381618,success,17.484847971898876
replicate_3,pos20,39.04108706813089,43.75000000000001,0.0038417872662984513,0.9615696187452274,2.0009390977304737,success,16.13367646573656
replicate_5,pos0,16.20469929567254,43.75000000000002,0.0037642581635885203,0.8041446882051738,2.1008391665560504,success,16.29897522205625
replicate_5,pos1,24.396477369888444,43.750000000000206,0.0027075720505389694,0.925885409111226,1.8539088165119595,success,19.218079642141703
replicate_5,pos10,30.929168191923708,43.80921624786224,0.010295225473474218,0.9459820814116646,1.6516248634541182,success,9.85557730444179
replicate_5,pos11,35.436652492525326,43.75000000000751,0.006657463771372352,0.9100392054049542,2.6674698276104625,success,12.255910875127835
replicate_5,pos12,36.713559388439904,43.75000000000014,0.008143147271257924,0.9081844166191089,2.7574595517289033,success,11.081635353585641
replicate_5,pos2,21.95328034791722,43.75000000000001,0.00519119342981204,0.9228272480824616,1.5679187672888497,success,13.879262645560052
replicate_5,pos3,19.190624597446323,45.25000000000044,0.0009390538702358945,0.9094340856540211,1.7466476848214472,success,32.63283060229404
replicate_5,pos4,31.949106729201002,46.16533349362265,0.009446974796338074,0.961108059272885,1.4350751567956235,success,10.288536950437969
replicate_5,pos5,30.286622509879916,45.25000000000041,0.006473260930547671,0.940286689559672,1.8091661336694642,success,12.429064544581276
replicate_5,pos6,31.864220936642027,43.75000000000001,0.0044212915887836875,0.9773106714325341,1.2005779916150434,success,15.039223759599219
replicate_5,pos7,34.883493847670806,43.75000000000006,0.004602780333319504,0.973168625388871,1.4496779264080848,success,14.739741788903775
replicate_5,pos8,24.654592600656013,43.75000000000001,0.0031803113544371887,0.9107782761742497,1.97373857098948,success,17.73230448780257
replicate_5,pos9,26.049140996786242,45.25000000000001,0.0038135144493093498,0.9396579067410249,1.6792133417339488,success,16.193372339609425
