replicate,pos,y_bin,y_um,median_intensity
replicate_2,pos0,0,1.1311055194805195,2971.7640765765764
replicate_2,pos0,1,2.9104594155844157,3032.0227272727275
replicate_2,pos0,2,4.689813311688312,2990.086956521739
replicate_2,pos0,3,6.469167207792207,2848.141176470588
replicate_2,pos0,4,8.248521103896104,2958.204081632653
replicate_2,pos0,5,10.027875,2763.46057448606
replicate_2,pos0,6,11.807228896103897,2629.5808429118774
replicate_2,pos0,7,13.586582792207793,2495.5699999999997
replicate_2,pos0,8,15.365936688311688,2448.16777154513
replicate_2,pos0,9,17.145290584415584,2259.7837837837837
replicate_2,pos0,10,18.924644480519483,2318.2259963768115
replicate_2,pos0,11,20.703998376623375,2257.3823529411766
replicate_2,pos0,12,22.483352272727274,2073.457532051282
replicate_2,pos0,13,24.26270616883117,1927.530303030303
replicate_2,pos0,14,26.042060064935065,1963.8666666666663
replicate_2,pos0,15,27.821413961038964,1917.2355833111878
replicate_2,pos0,16,29.600767857142856,1755.5
replicate_2,pos0,17,31.380121753246755,1695.4931506849316
replicate_2,pos0,18,33.159475649350654,1692.548387096774
replicate_2,pos0,19,34.938829545454546,1720.4493006993007
replicate_2,pos0,20,36.71818344155844,1690.513888888889
replicate_2,pos0,21,38.49753733766234,1723.9938574938574
replicate_2,pos0,22,40.276891233766236,1653.3636363636365
replicate_2,pos0,23,42.056245129870135,1687.7457627118645
replicate_2,pos0,24,43.83559902597403,1723.8115942028985
replicate_2,pos0,25,45.61495292207792,1719.0166666666669
replicate_2,pos0,26,47.39430681818182,1688.6610169491526
replicate_2,pos0,27,49.17366071428572,1722.6975308641977
replicate_2,pos0,28,50.953014610389616,1745.378664223851
replicate_2,pos0,29,52.73236850649351,2118.1403508771928
replicate_2,pos1,0,1.1311055194805195,2276.525641025641
replicate_2,pos1,1,2.9104594155844157,2337.1923076923076
replicate_2,pos1,2,4.689813311688312,2221.2926829268295
replicate_2,pos1,3,6.469167207792207,2244.4616883116887
replicate_2,pos1,4,8.248521103896104,2025.1492537313432
replicate_2,pos1,5,10.027875,2024.3636363636363
replicate_2,pos1,6,11.807228896103897,1975.9609375
replicate_2,pos1,7,13.586582792207793,1880.9978813559323
replicate_2,pos1,8,15.365936688311688,1917.9760273972604
replicate_2,pos1,9,17.145290584415584,1781.2549019607843
replicate_2,pos1,10,18.924644480519483,1697.5975609756097
replicate_2,pos1,11,20.703998376623375,1682.40625
replicate_2,pos1,12,22.483352272727274,1613.5272727272727
replicate_2,pos1,13,24.26270616883117,1540.8095238095239
replicate_2,pos1,14,26.042060064935065,1534.7105263157894
replicate_2,pos1,15,27.821413961038964,1529.546875
replicate_2,pos1,16,29.600767857142856,1440.537037037037
replicate_2,pos1,17,31.380121753246755,1464.6954787234042
replicate_2,pos1,18,33.159475649350654,1460.7360482654599
replicate_2,pos1,19,34.938829545454546,1461.863315696649
replicate_2,pos1,20,36.71818344155844,1416.8072289156626
replicate_2,pos1,21,38.49753733766234,1339.5641252085172
replicate_2,pos1,22,40.276891233766236,1325.475
replicate_2,pos1,23,42.056245129870135,1352.725
replicate_2,pos1,24,43.83559902597403,1457.4252489331438
replicate_2,pos1,25,45.61495292207792,1391.5897064153678
replicate_2,pos1,26,47.39430681818182,1380.4608450704227
replicate_2,pos1,27,49.17366071428572,1336.157894736842
replicate_2,pos1,28,50.953014610389616,1355.5142857142855
replicate_2,pos1,29,52.73236850649351,1470.3009012016023
replicate_2,pos2,0,1.1311055194805195,3034.74
replicate_2,pos2,1,2.9104594155844157,3063.0731707317073
replicate_2,pos2,2,4.689813311688312,2872.3152173913045
replicate_2,pos2,3,6.469167207792207,2778.3230994152045
replicate_2,pos2,4,8.248521103896104,2704.396551724138
replicate_2,pos2,5,10.027875,2633.43661971831
replicate_2,pos2,6,11.807228896103897,2562.2
replicate_2,pos2,7,13.586582792207793,2462.8275862068967
replicate_2,pos2,8,15.365936688311688,2422.948916408669
replicate_2,pos2,9,17.145290584415584,2253.657746010638
replicate_2,pos2,10,18.924644480519483,2240.4814814814813
replicate_2,pos2,11,20.703998376623375,2124.5375386996902
replicate_2,pos2,12,22.483352272727274,2163.6974085365855
replicate_2,pos2,13,24.26270616883117,2220.1162790697676
replicate_2,pos2,14,26.042060064935065,2020.947275759822
replicate_2,pos2,15,27.821413961038964,1964.5333333333333
replicate_2,pos2,16,29.600767857142856,1927.3809523809523
replicate_2,pos2,17,31.380121753246755,1887.821428571429
replicate_2,pos2,18,33.159475649350654,1802.5197115384617
replicate_2,pos2,19,34.938829545454546,1808.5116279069769
replicate_2,pos2,20,36.71818344155844,1822.9019607843136
replicate_2,pos2,21,38.49753733766234,1791.1153846153843
replicate_2,pos2,22,40.276891233766236,1729.326923076923
replicate_2,pos2,23,42.056245129870135,1734.7272727272727
replicate_2,pos2,24,43.83559902597403,1666.228987993139
replicate_2,pos2,25,45.61495292207792,1713.8472222222222
replicate_2,pos2,26,47.39430681818182,1715.3720930232555
replicate_2,pos2,27,49.17366071428572,1674.4146341463415
