replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos10,0,1.146398960363873,297.3076923076923,108.37220843672455,188.93548387096777,28.161422875725467,73.68619695354857
replicate_4,pos10,1,2.899937621832359,325.96153846153845,137.02605459057068,188.93548387096777,35.69400065537698,59.71751397986679
replicate_4,pos10,2,4.653476283300845,349.2162162162162,160.28073234524842,188.93548387096777,42.05226092871202,48.39687245864907
replicate_4,pos10,3,6.407014944769331,324.93220338983053,135.99671951886276,188.93548387096777,35.41802304622637,39.22228350893207
replicate_4,pos10,4,8.16055360623782,337.775,148.8395161290322,188.93548387096777,38.89354404481992,31.786920217988428
replicate_4,pos10,5,9.914092267706303,289.98214285714283,101.04665898617506,188.93548387096777,26.2800126378889,25.76107779912574
replicate_4,pos10,6,11.667630929174791,261.13928571428573,72.20380184331796,188.93548387096777,19.000665178310502,20.877553560072613
replicate_4,pos10,7,13.421169590643276,245.5217391304348,56.58625525946704,188.93548387096777,15.111259990203946,16.919798388897153
replicate_4,pos10,8,15.174708252111763,234.36111111111111,45.42562724014334,188.93548387096777,12.332551436814885,13.712314361229733
replicate_4,pos10,9,16.92824691358025,229.3941176470588,40.458633776091034,188.93548387096777,11.090991219382703,11.11287267186187
replicate_4,pos10,10,18.681785575048735,217.5203488372093,28.584864966241526,188.93548387096777,8.093092499616295,9.006206812059961
replicate_4,pos10,11,20.435324236517225,214.07878787878784,25.143304007820063,188.93548387096777,7.211175018295489,7.2989013304519625
replicate_4,pos10,12,22.188862897985707,210.3809523809524,21.445468509984636,188.93548387096777,6.25352913840888,5.915249530860878
replicate_4,pos10,13,23.942401559454197,211.72411151960785,22.788627648640073,188.93548387096777,6.602756516548025,4.793896425831498
replicate_4,pos10,14,25.69594022092268,200.48465045592704,11.549166584959266,188.93548387096777,3.6087707810203304,3.8851180850279095
replicate_4,pos10,15,27.44947888239117,196.02147335423197,7.0859894832642,188.93548387096777,2.3461826531879977,3.14861673720732
replicate_4,pos10,16,29.20301754385965,195.86363636363637,6.928152492668602,188.93548387096777,2.3001668044060737,2.5517338544296395
replicate_4,pos10,17,30.95655620532814,189.96546610169491,1.0299822307271427,188.93548387096777,0.43356503401580215,2.0680019816632482
replicate_4,pos10,18,32.710094866796624,189.96027742749055,1.0247935565227806,188.93548387096777,0.4316566947627761,1.6759710958647398
replicate_4,pos10,19,34.463633528265106,191.99561403508773,3.060130164119954,188.93548387096777,1.1233180888802619,1.3582574520143447
replicate_4,pos10,20,36.2171721897336,188.93548387096777,0.0,188.93548387096777,0.0,1.1007727392822895
replicate_4,pos10,21,37.970710851202085,190.98591549295776,2.0504316219899863,188.93548387096777,0.7913361909125305,0.8920993659563744
replicate_4,pos10,22,39.72424951267057,189.57777777777775,0.6422939068099822,188.93548387096777,0.2870485772307738,0.7229841715185776
replicate_4,pos10,23,41.47778817413905,193.41076923076923,4.475285359801461,188.93548387096777,1.5672122846827683,0.5859281156494434
replicate_4,pos10,24,43.23132683560754,194.84375,5.908266129032228,188.93548387096777,1.9998099746033053,0.4748537498239859
replicate_4,pos10,25,44.98486549707603,204.48115942028983,15.545675549322056,188.93548387096777,4.69540485154536,0.38483572626046275
replicate_4,pos10,26,46.73840415854451,209.1446153846154,20.209131513647634,188.93548387096777,5.9304970169980775,0.31188239423567976
replicate_4,pos10,27,48.491942820012994,208.33051948051948,19.395035609551712,188.93548387096777,5.716886043748805,0.2527587991371233
replicate_4,pos10,28,50.24548148148149,214.92047330765,25.98498943668224,188.93548387096777,7.427604558289819,0.20484323553525252
replicate_4,pos10,29,51.99902014294997,213.8,24.86451612903224,188.93548387096777,7.139372076373232,0.16601099343831088
replicate_4,pos14,0,1.146398960363873,282.5703794369645,93.07037943696452,189.5,24.2484923543962,84.15585063964215
replicate_4,pos14,1,2.899937621832359,326.4616808589411,136.96168085894112,189.5,35.676728472707154,69.36184535046168
replicate_4,pos14,2,4.653476283300845,349.2239733629301,159.7239733629301,189.5,41.897109183086684,57.1685219002178
replicate_4,pos14,3,6.407014944769331,380.3404255319149,190.8404255319149,189.5,50.815730426125086,47.11869875498341
replicate_4,pos14,4,8.16055360623782,332.6588235294118,143.1588235294118,189.5,37.34745991286706,38.835563671568025
replicate_4,pos14,5,9.914092267706303,295.7991388044579,106.29913880445793,189.5,27.62738019819517,32.00854534276311
replicate_4,pos14,6,11.667630929174791,288.94354838709677,99.44354838709677,189.5,25.870348903380798,26.38166870775394
replicate_4,pos14,7,13.421169590643276,277.53285256410254,88.03285256410254,189.5,22.973609533956683,21.743957316870393
replicate_4,pos14,8,15.174708252111763,255.1290322580645,65.62903225806451,189.5,17.361197811605017,17.921522892954318
replicate_4,pos14,9,16.92824691358025,245.23333333333332,55.73333333333332,189.5,14.899134369576881,14.771045492071515
