replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_2,pos0,0,0.75,2964.7169811320755,1343.7725366876311,1620.9444444444443,28.195560348503886,36.12526474986737
replicate_2,pos0,1,2.25,3039.088888888889,1418.1444444444446,1620.9444444444443,29.702053503369232,33.31699892890591
replicate_2,pos0,2,3.75,3010.966745283019,1390.0223008385747,1620.9444444444443,29.12619340223615,30.717096385063257
replicate_2,pos0,3,5.25,2932.8964285714287,1311.9519841269844,1620.9444444444443,27.567886590514938,28.309297424140063
replicate_2,pos0,4,6.75,2846.166332916145,1225.2218884717008,1620.9444444444443,25.913425680656285,26.07854376062831
replicate_2,pos0,5,8.25,2958.7323943661972,1337.787949921753,1620.9444444444443,28.07670510263267,24.010884343751627
replicate_2,pos0,6,9.75,2823.054054054054,1202.1096096096098,1620.9444444444443,25.487177130315807,22.09338810811046
replicate_2,pos0,7,11.25,2634.7456456456457,1013.8012012012014,1620.9444444444443,21.718529153376707,20.314063103278134
replicate_2,pos0,8,12.75,2559.8068885448915,938.8624441004472,1620.9444444444443,20.038728883165067,18.661781496587086
replicate_2,pos0,9,14.25,2520.606971153846,899.6625267094018,1620.9444444444443,19.147476532982804,17.126209980075576
replicate_2,pos0,10,15.75,2373.5348837209303,752.590439276486,1620.9444444444443,15.852703475739554,15.697745146362482
replicate_2,pos0,11,17.25,2286.0466666666666,665.1022222222223,1620.9444444444443,14.005769613988573,14.367453429293287
replicate_2,pos0,12,18.75,2311.6700819672133,690.7256375227689,1620.9444444444443,14.53441700639831,13.127015233748272
replicate_2,pos0,13,20.25,2254.090909090909,633.1464646464647,1620.9444444444443,13.362444525834245,11.968672905202832
replicate_2,pos0,14,21.75,2183.4,562.4555555555557,1620.9444444444443,12.054979174496,10.885182213643441
replicate_2,pos0,15,23.25,1991.7319587628865,370.78751431844216,1620.9444444444443,9.552085328845605,9.869767048421526
replicate_2,pos0,16,24.75,1927.6442307692305,306.69978632478615,1620.9444444444443,8.120983630338083,8.916077040708444
replicate_2,pos0,17,26.25,1963.8666666666663,342.922222222222,1620.9444444444443,8.989311399090186,8.018147848524103
replicate_2,pos0,18,27.75,1920.3584905660375,299.4140461215932,1620.9444444444443,7.928401606768925,7.1703638559631315
replicate_2,pos0,19,29.25,1789.6109234234234,168.66647897897906,1620.9444444444443,1.0800803289822523,6.367423053341053
replicate_2,pos0,20,30.75,1746.9411764705883,125.99673202614395,1620.9444444444443,0.78125,5.604303878622109
replicate_2,pos0,21,32.25,1620.9444444444443,0.0,1620.9444444444443,0.78125,4.876233812756311
replicate_2,pos0,22,33.75,1715.40625,94.46180555555566,1620.9444444444443,0.78125,4.178659532522094
replicate_2,pos0,23,35.25,1712.0675675675675,91.12312312312315,1620.9444444444443,0.78125,3.507218434211554
replicate_2,pos0,24,36.75,1676.722446236559,55.778001792114765,1620.9444444444443,0.78125,2.8577113500684748
replicate_2,pos0,25,38.25,1724.6363636363635,103.69191919191917,1620.9444444444443,0.78125,2.2260762868487225
replicate_2,pos0,26,39.75,1676.6017722878623,55.65732784341799,1620.9444444444443,0.78125,1.6083630222649772
replicate_2,pos0,27,41.25,1660.3239436619715,39.379499217527155,1620.9444444444443,0.78125,1.0007084004428735
replicate_2,pos0,28,42.75,1703.6470588235295,82.70261437908516,1620.9444444444443,0.78125,0.3993121718872685
replicate_2,pos0,29,44.25,1723.9169082125602,102.97246376811586,1620.9444444444443,0.78125,-0.19958677313732578
replicate_2,pos0,30,45.75,1719.0166666666669,98.07222222222254,1620.9444444444443,0.78125,-0.7997339264477024
replicate_2,pos0,31,47.25,1693.049180327869,72.10473588342461,1620.9444444444443,0.78125,-1.404882586109036
replicate_2,pos0,32,48.75,1710.7121212121212,89.7676767676769,1620.9444444444443,0.78125,-2.018817329421945
replicate_2,pos0,33,50.25,1723.983606557377,103.03916211293267,1620.9444444444443,0.78125,-2.645377681528738
replicate_2,pos0,34,51.75,1767.9655172413793,147.02107279693496,1620.9444444444443,0.78125,-3.2884821276614224
replicate_2,pos1,0,0.75,2249.437426900585,937.5784525416104,1311.8589743589744,20.00959957948312,25.694896448324727
replicate_2,pos1,1,2.25,2337.714285714286,1025.8553113553114,1311.8589743589744,21.983060206327078,23.507334902295394
replicate_2,pos1,2,3.75,2314.7380952380954,1002.879120879121,1311.8589743589744,21.477136565875593,21.501646373150443
replicate_2,pos1,3,5.25,2186.1341064525723,874.2751320935979,1311.8589743589744,18.570008311721,19.662313124607035
replicate_2,pos1,4,6.75,2219.310528756957,907.4515543979826,1311.8589743589744,19.324751636783475,17.97510448830745
replicate_2,pos1,5,8.25,2008.5642857142857,696.7053113553113,1311.8589743589744,14.659339422042686,16.42696676309534
replicate_2,pos1,6,9.75,2063.668709677419,751.8097353184446,1311.8589743589744,15.83573535176327,15.005922220325258
replicate_2,pos1,7,11.25,1986.4186046511627,674.5596302921883,1311.8589743589744,14.199606847927223,13.700976433823644
replicate_2,pos1,8,12.75,1992.336405529954,680.4774311709796,1311.8589743589744,14.321667180490874,12.502033217525675
replicate_2,pos1,9,14.25,1847.638227513228,535.7792531542536,1311.8589743589744,11.688917839291731,11.399816512672357
replicate_2,pos1,10,15.75,1944.6511627906975,632.7921884317232,1311.8589743589744,13.355416024948061,10.385798620219743
replicate_2,pos1,11,17.25,1749.6923076923076,437.83333333333326,1311.8589743589744,10.57262914941824,9.452134223204355
replicate_2,pos1,12,18.75,1737.7330224772836,425.87404811830925,1311.8589743589744,10.41902207843095,8.5915996886049
replicate_2,pos1,13,20.25,1681.8915307971015,370.03255643812713,1311.8589743589744,9.538028738889537,7.7975371790871515
replicate_2,pos1,14,21.75,1643.542862021858,331.68388766288354,1311.8589743589744,8.736313803057913,7.0638031422322145
replicate_2,pos1,15,23.25,1586.2152981427173,274.35632378374294,1311.8589743589744,7.2255557722690185,6.384720778716462
replicate_2,pos1,16,24.75,1503.9846153846156,192.12564102564124,1311.8589743589744,1.722028441302787,5.755036121695977
replicate_2,pos1,17,26.25,1548.4722222222222,236.6132478632478,1311.8589743589744,5.735308404792608,5.1698773875877135
replicate_2,pos1,18,27.75,1533.2444444444443,221.38547008546993,1311.8589743589744,3.4394377350846876,4.624717283749999
replicate_2,pos1,19,29.25,1454.6507936507935,142.79181929181914,1311.8589743589744,0.78125,4.115337981442057
replicate_2,pos1,20,30.75,1448.179577464789,136.3206031058146,1311.8589743589744,0.78125,3.6377984830631696
replicate_2,pos1,21,32.25,1466.753846153846,154.89487179487173,1311.8589743589744,0.8614804533840308,3.1884041311962976
replicate_2,pos1,22,33.75,1456.1201809598742,144.26120660089987,1311.8589743589744,0.78125,2.7636780235518117
replicate_2,pos1,23,35.25,1428.5689655172414,116.70999115826703,1311.8589743589744,0.78125,2.360334112652706
replicate_2,pos1,24,36.75,1404.9701492537313,93.11117489475691,1311.8589743589744,0.78125,1.9752517821372337
replicate_2,pos1,25,38.25,1368.8333333333333,56.97435897435889,1311.8589743589744,0.78125,1.6054517029793347
replicate_2,pos1,26,39.75,1328.5,16.641025641025635,1311.8589743589744,0.78125,1.2480727828297458
replicate_2,pos1,27,41.25,1311.8589743589744,0.0,1311.8589743589744,0.78125,0.9003500301380151
replicate_2,pos1,28,42.75,1369.444099378882,57.58512501990754,1311.8589743589744,0.78125,0.5595931617931802
replicate_2,pos1,29,44.25,1469.2054507337523,157.34647637477792,1311.8589743589744,0.8941609348114005,0.2231657887733663
