stripe size,survival
1,0.0005801084505448022
2,0.00058199568124984
3,0.0005859013231738308
4,0.0005952177694361579
5,0.0006260679800285623
6,0.0006283207870809898
7,0.0006748656947008716
8,0.0007729166218635853
9,0.0006606600767964201
10,0.0006127287000659259
11,0.000671739458718984
12,0.0008065250067132757
13,0.0009589559887577327
14,0.0008682137801799673
15,0.0007983101313738508
16,0.0007567987784621281
17,0.0007492544591686001
18,0.0007779268509456557
19,0.0008415896031635041
20,0.0009350509217203741
21,0.0010499069564777802
22,0.0011744067260701042
23,0.001294299537311433
24,0.0013930600600487641
