Target,Rhamnolipids (µg/ml),HQNO (µg/ml),Timepoint (h),CFU,Survival,Replicate,Experiment
SVS002,12.5,0.04,2,1.20E+06,1.25%,2,5
SVS002,12.5,0.04,2,4.80E+06,6.32%,3,5
SVS002,12.5,0.02,2,1.60E+05,0.17%,1,5
SVS002,12.5,0.02,2,4.00E+04,0.09%,2,5
SVS002,12.5,0.02,2,1.20E+05,0.16%,3,5
SVS002,12.5,0.01,2,1.20E+04,0.02%,1,5
SVS002,12.5,0.01,2,6.00E+03,0.01%,2,5
SVS002,12.5,0.01,2,1.00E+04,0.04%,3,5
SVS002,12.5,0,2,1.00E+04,0.01%,1,5
SVS002,12.5,0,2,2.00E+03,0.00%,2,5
SVS002,12.5,0,2,4.00E+03,0.01%,3,5
SVS002,6.25,0.08,2,2.40E+08,206.90%,1,5
SVS002,6.25,0.08,2,2.80E+08,259.26%,2,5
SVS002,6.25,0.08,2,4.20E+08,338.71%,3,5
SVS002,6.25,0.06,2,8.00E+07,86.96%,1,5
SVS002,6.25,0.06,2,8.00E+07,111.11%,2,5
SVS002,6.25,0.06,2,1.60E+08,148.15%,3,5
SVS002,6.25,0.04,2,1.40E+07,12.07%,1,5
SVS002,6.25,0.04,2,1.20E+07,14.29%,2,5
SVS002,6.25,0.04,2,2.40E+07,19.35%,3,5
SVS002,6.25,0.02,2,4.00E+04,0.05%,1,5
SVS002,6.25,0.02,2,2.00E+04,0.02%,2,5
SVS002,6.25,0.02,2,1.00E+05,0.07%,3,5
SVS002,6.25,0.01,2,1.40E+05,0.13%,1,5
SVS002,6.25,0.01,2,6.00E+04,0.05%,2,5
SVS002,6.25,0.01,2,1.80E+05,0.13%,3,5
SVS002,6.25,0,2,1.60E+04,0.01%,1,5
SVS002,6.25,0,2,2.40E+04,0.03%,2,5
SVS002,6.25,0,2,3.20E+04,0.02%,3,5
SVS002,0,0.08,2,5.00E+08,480.77%,1,5
SVS002,0,0.08,2,4.40E+08,379.31%,2,5
SVS002,0,0.08,2,2.00E+08,208.33%,3,5
SVS002,0,0.06,2,4.80E+08,545.45%,1,5
SVS002,0,0.06,2,4.00E+08,454.55%,2,5
SVS002,0,0.06,2,3.40E+08,236.11%,3,5
SVS002,0,0.04,2,1.80E+08,204.55%,1,5
SVS002,0,0.04,2,4.20E+08,552.63%,2,5
SVS002,0,0.04,2,2.00E+08,151.52%,3,5
SVS002,0,0.02,2,5.40E+07,79.41%,1,5
SVS002,0,0.02,2,2.20E+07,23.91%,2,5
SVS002,0,0.02,2,5.20E+07,37.14%,3,5
SVS002,0,0.01,2,2.60E+06,2.32%,1,5
SVS002,0,0.01,2,2.80E+06,2.12%,2,5
SVS002,0,0.01,2,4.60E+06,3.83%,3,5
SVS002,0,0,2,4.80E+05,0.63%,1,5
SVS002,0,0,2,4.40E+05,0.44%,2,5
SVS002,0,0,2,4.60E+05,0.41%,3,5
