x,y,replicate,Type,survived
604.4206471494607,10.103235747303543,pos6,0,0
437.1714285714286,10.685714285714283,pos6,0,0
374.0187265917603,16.0,pos6,0,0
82.016,29.74,pos6,0,0
140.58389261744966,21.889261744966444,pos6,0,0
170.17391304347825,26.94314381270903,pos6,0,0
217.47404844290656,21.27681660899654,pos6,0,0
248.0032467532467,17.042207792207794,pos6,0,0
295.43222506393863,18.67007672634271,pos6,0,0
30.663956639566397,23.235772357723576,pos6,1,0
602.6536585365853,32.784668989547036,pos6,0,0
65.66423357664233,21.21167883211679,pos6,1,0
442.28246753246754,22.551948051948052,pos6,0,0
490.04561403508774,22.4140350877193,pos6,0,0
543.5548780487804,21.45731707317073,pos6,0,0
107.02777777777776,30.849206349206348,pos6,1,0
345.2116991643454,28.431754874651812,pos6,0,0
208.6853146853147,31.44055944055944,pos6,0,0
259.42641509433963,34.241509433962264,pos6,0,0
404.99506172839506,31.432098765432094,pos6,0,0
348.6063386155129,39.68640533778149,pos6,0,0
465.9559585492228,34.01036269430052,pos6,0,0
532.1530864197531,33.28395061728395,pos6,0,0
33.3625,43.03958333333333,pos6,0,0
128.74045801526717,40.70992366412214,pos6,0,0
250.07241379310344,44.87931034482759,pos6,0,0
191.8021582733813,43.2410071942446,pos6,0,0
639.2079510703364,62.883792048929664,pos6,0,0
491.4833948339483,49.48708487084871,pos6,0,0
297.841726618705,48.776978417266186,pos6,0,0
611.4618473895582,61.86746987951807,pos6,0,0
624.3597733711048,64.15864022662889,pos6,0,0
167.84364820846906,53.56677524429968,pos6,0,0
216.8858267716535,52.496062992125985,pos6,0,0
342.3985507246377,52.80797101449275,pos6,0,0
89.11050724637681,56.06884057971015,pos6,0,0
278.94666666666666,67.64888888888889,pos6,0,0
547.3618784530387,54.908839779005525,pos6,0,0
41.45255474452555,57.5985401459854,pos6,1,0
388.36624203821657,63.72292993630573,pos6,0,0
416.091922005571,56.8133704735376,pos6,0,0
257.0436241610738,63.81879194630873,pos6,0,0
200.51006711409397,78.54563758389261,pos6,0,0
305.53714285714284,73.24285714285715,pos6,0,0
581.0202702702703,63.064189189189186,pos6,0,0
98.97872340425532,66.13563829787235,pos6,0,0
212.8705501618123,67.69255663430421,pos6,0,0
249.0,73.65584415584415,pos6,0,0
326.9609375,64.125,pos6,0,0
467.6771653543307,66.24409448818898,pos6,0,0
17.866141732283463,68.08661417322834,pos6,1,0
368.6039215686274,68.84313725490196,pos6,0,0
512.5975609756098,72.34451219512195,pos6,0,0
34.64423076923077,72.3173076923077,pos6,1,0
116.77777777777776,75.48538011695906,pos6,0,0
450.9801876955162,79.87278415015642,pos6,0,0
533.4012539184953,77.33542319749216,pos6,0,0
555.0506108202443,82.96684118673647,pos6,0,0
60.351351351351354,88.87258687258688,pos6,0,0
50.614285714285714,77.08571428571429,pos6,1,0
302.850622406639,86.92116182572614,pos6,0,0
354.1246200607903,78.5258358662614,pos6,0,0
142.55517241379312,83.1,pos6,0,0
