HQNO,GFP,Source,conc
HQNO_10,173.2001694850336,Microscopy,10.0
HQNO_20,199.05932328025727,Microscopy,20.0
HQNO_40,344.5762530035405,"FACS (estimated, median)",40.0
HQNO_80,475.5806204151622,"FACS (estimated, median)",80.0
HQNO_160,596.2568426781498,"FACS (estimated, median)",160.0
HQNO_320,783.7942151138739,"FACS (estimated, median)",320.0
HQNO_640,885.444906839904,"FACS (estimated, median)",640.0
HQNO_1280,1029.4953523340107,"FACS (estimated, median)",1280.0
HQNO_2500,1007.208302276432,"FACS (estimated, median)",2500.0
