replicate,pos,c_max,L,A,r2,rmse,status,r0
replicate_2,pos0,36.43932288528457,43.75000000000001,0.004223084696120538,0.9347400330201108,2.493248196567448,success,15.38810369652957
replicate_2,pos1,25.061739736243506,45.25000000000004,0.005562786364275918,0.9268409082384047,1.7300467670053057,success,13.407685345534498
replicate_2,pos2,32.32298717687444,43.75000000000001,0.004336103503572731,0.9512608374965471,1.8503616189884218,success,15.186237228413885
replicate_2,pos3,41.79817353726612,43.75000000000001,0.003716068951012069,0.9405633136330698,2.7609420279290275,success,16.40431568139178
replicate_2,pos4,37.22558148978393,43.750000000000014,0.006420418713700753,0.9521782036145983,2.0293789330561998,success,12.480107436550721
replicate_2,pos5,32.63114160637755,45.25000000000018,0.0023867024999439717,0.9370872402419989,2.3012897598081707,success,20.4691993674405
replicate_2,pos6,35.569651272447224,45.25000000000001,0.0036695739928917755,0.9312285433721095,2.5337394671911078,success,16.507913152496478
replicate_2,pos7,32.25080106381043,43.75000000000001,0.0040468017982367415,0.9428120819953592,2.0502916989891573,success,15.719692011042039
replicate_2,pos8,33.39929449569999,45.25000000000001,0.005335664099169525,0.9209777548431785,2.4504028760460255,success,13.690072856185369
replicate_2,pos9,37.64973830796539,45.250000000000135,0.0056595321271490666,0.949350792934095,2.144987731860498,success,13.292593848298857
replicate_3,pos10,28.82822490287915,43.75000000000008,0.005942624832005085,0.9145547048684635,2.1610196610167196,success,12.972116589049596
replicate_3,pos11,36.28201425875117,43.75000000000001,0.005899634194046805,0.945795339980031,2.1396076491264635,success,13.019294709042876
replicate_3,pos12,36.615048295277205,43.75000000000001,0.0032984750721691838,0.9388962276295387,2.4855140546431382,success,17.41178904856928
replicate_3,pos13,39.04468265773825,43.750000000000085,0.004736444488740103,0.9602775037688538,2.0049123924478143,success,14.530273002689327
replicate_3,pos14,33.45941792247434,43.75000000000016,0.004118554639261279,0.9457986929475161,2.0539919171549617,success,15.582157293813957
replicate_3,pos15,35.200756245617406,45.25000000000001,0.005409069265370797,0.9424095361763509,2.162467743933253,success,13.59686321656663
replicate_3,pos16,36.94840265159418,43.75000000000001,0.004403872594599299,0.9655247652268378,1.7750904523577105,success,15.068937336759918
replicate_3,pos17,35.296993794220505,43.750000000000064,0.007484151006513116,0.9736280669803615,1.3623218896911222,success,11.559225315443143
replicate_3,pos18,33.765646632870165,43.75000000000049,0.005150460744766906,0.9573335248182376,1.7570535081657173,success,13.934036995439941
replicate_3,pos19,36.16666617120264,43.75000000000001,0.00482108046705271,0.9528149479646911,2.0253451110108687,success,14.402165919903663
replicate_3,pos20,37.29799014124351,43.75000000000001,0.00515029482387623,0.9567186304819381,1.9696681853084217,success,13.934261441737487
