replicate,pos,y_bin,y_um,median_intensity,corrected_intensity
replicate_2,pos0,0,0.75,2964.7169811320755,1229.2703627069309
replicate_2,pos0,1,2.25,3039.088888888889,1303.6422704637444
replicate_2,pos0,2,3.75,3010.966745283019,1275.5201268578742
replicate_2,pos0,3,5.25,2932.8964285714287,1197.449810146284
replicate_2,pos0,4,6.75,2846.166332916145,1110.7197144910006
replicate_2,pos0,5,8.25,2958.7323943661972,1223.2857759410526
replicate_2,pos0,6,9.75,2823.054054054054,1087.6074356289096
replicate_2,pos0,7,11.25,2634.7456456456457,899.2990272205009
replicate_2,pos0,8,12.75,2559.8068885448915,824.3602701197469
replicate_2,pos0,9,14.25,2520.606971153846,785.1603527287016
replicate_2,pos0,10,15.75,2373.5348837209303,638.0882652957857
replicate_2,pos0,11,17.25,2286.0466666666666,550.600048241522
replicate_2,pos0,12,18.75,2311.6700819672133,576.2234635420684
replicate_2,pos0,13,20.25,2254.090909090909,518.6442906657644
replicate_2,pos0,14,21.75,2183.4,447.9533815748555
replicate_2,pos0,15,23.25,1991.7319587628865,256.2853403377419
replicate_2,pos0,16,24.75,1927.6442307692305,192.197612344086
replicate_2,pos0,17,26.25,1963.8666666666663,228.42004824152173
replicate_2,pos0,18,27.75,1920.3584905660375,184.9118721408929
replicate_2,pos0,19,29.25,1789.6109234234234,54.164304998278794
replicate_2,pos0,20,30.75,1746.9411764705883,11.494558045443682
replicate_2,pos0,21,32.25,1620.9444444444443,-114.50217398070026
replicate_2,pos0,22,33.75,1715.40625,-20.040368425144607
replicate_2,pos0,23,35.25,1712.0675675675675,-23.379050857577113
replicate_2,pos0,24,36.75,1676.7224462365593,-58.724172188585385
replicate_2,pos0,25,38.25,1724.6363636363635,-10.810254788781094
replicate_2,pos0,26,39.75,1676.6017722878623,-58.84484613728216
replicate_2,pos0,27,41.25,1660.3239436619715,-75.12267476317311
replicate_2,pos0,28,42.75,1703.6470588235295,-31.7995596016151
replicate_2,pos0,29,44.25,1723.9169082125602,-11.529710212584405
replicate_2,pos0,30,45.75,1719.0166666666669,-16.429951758477728
replicate_2,pos0,31,47.25,1693.049180327869,-42.39743809727565
replicate_2,pos0,32,48.75,1710.7121212121212,-24.73449721302336
replicate_2,pos0,33,50.25,1723.983606557377,-11.463011867767591
replicate_2,pos0,34,51.75,1767.9655172413793,32.518898816234696
replicate_2,pos1,0,0.75,2249.437426900585,513.9908084754402
replicate_2,pos1,1,2.25,2337.714285714286,602.2676672891412
replicate_2,pos1,2,3.75,2314.7380952380954,579.2914768129508
replicate_2,pos1,3,5.25,2186.1341064525723,450.68748802742743
replicate_2,pos1,4,6.75,2219.310528756957,483.8639103318126
replicate_2,pos1,5,8.25,2008.5642857142857,273.1176672891412
replicate_2,pos1,6,9.75,2063.6687096774194,328.2220912522746
replicate_2,pos1,7,11.25,1986.4186046511627,250.9719862260181
replicate_2,pos1,8,12.75,1992.336405529954,256.88978710480944
replicate_2,pos1,9,14.25,1847.6382275132278,112.19160908808306
replicate_2,pos1,10,15.75,1944.6511627906975,209.20454436555292
