replicate,pos,c_max,L,A,r2,rmse,status,r0
replicate_4,pos10,119.98598345865553,87.49999996911535,0.02234996737510027,0.975500705690472,1.4695911297757902,success,6.689005502969453
replicate_4,pos14,74.73066779984202,45.16320867898647,0.009222234131164294,0.9937371823689352,0.7536399946168698,success,10.413145294102502
replicate_4,pos17,94.08315122764179,47.761085767940095,0.013256938012572017,0.9706596197240506,1.7402187765850785,success,8.685171272565587
replicate_4,pos18,180.12226226300405,87.49999999999984,0.02836985422829895,0.9682689769380931,2.1071824575338,success,5.937060135677624
replicate_4,pos19,100.44874156534505,43.75000000000001,0.0050764009770323795,0.9313793841550233,4.455196237761794,success,14.035311004554549
replicate_4,pos23,58.69479164366451,43.750000000000014,0.006637172245670436,0.9806907310926622,1.2078723564744476,success,12.274631298020346
replicate_4,pos34,103.54735009269507,43.750000000000085,0.006564249255869081,0.9592464282893503,3.2478285549621178,success,12.342623123262088
replicate_4,pos36,301.4255514160429,43.7500000000071,0.011129357561498835,0.979680801572801,5.149400169323015,success,9.479053015046606
replicate_4,pos37,109.38154092175911,56.725660771478026,0.009565826212915213,0.97595560739619,2.142109501800695,success,10.224421778257657
replicate_4,pos38,134.63105178458792,43.75000000000001,0.008432002223876727,0.9701178835226696,3.199892413883342,success,10.890169610625641
replicate_4,pos39,113.30586866081528,43.7500000000003,0.007360444294316473,0.9793124712033973,2.347480545166925,success,11.655958296083252
replicate_4,pos8,52.55121155198118,43.75000000000001,0.0031380437750788115,0.9603099767141723,1.9559303515758693,success,17.851326824852446
replicate_5,pos0,104.87890732429538,43.75000000000001,0.0013935155879193787,0.9228683470712404,6.621402800574003,success,26.788234032312783
replicate_5,pos1,104.718756313889,42.25000000000001,0.0006914638716508132,0.9521834082736331,5.411545232333483,success,38.02903045065532
replicate_5,pos2,114.99007763481337,43.75000000000001,0.001012605779684727,0.9292358542247081,7.1835233362750825,success,31.425326534554753
replicate_5,pos3,61.004701615132504,42.25000000000033,0.0007830570389855797,0.9260060512350937,3.99042864947542,success,35.73578290092429
replicate_5,pos4,65.45537904109005,42.25000000000153,0.002817978069575909,0.9141740840005825,3.8594256174722736,success,18.83784397491254
replicate_5,pos5,55.53410962498879,42.25000000000001,0.0028462330173570746,0.9174490022736042,3.154858738684739,success,18.744107823915222
replicate_5,pos6,100.31943558594062,46.687416104928545,0.010152107254057444,0.986717856473594,1.4130485892591962,success,9.92480314284698
replicate_5,pos7,119.83082658388079,42.25000000000001,0.006425435815936627,0.9701049245946974,3.173719178409208,success,12.475234132697333
replicate_5,pos8,135.71457587541548,42.25000000000001,0.01007375612765305,0.9855945129543299,2.06425171603971,success,9.963324689104343
replicate_5,pos9,103.78856053305691,42.25000000000001,0.005897576023644394,0.9497543924225589,3.7066353832401107,success,13.021566285490657
replicate_7,pos0,169.28128926037695,43.75000000000301,0.0031373588778759063,0.9518857398712609,7.094656215281168,success,17.853275224301814
replicate_7,pos1,67.62771652918471,42.25000000000129,0.0027154753384156165,0.9502921712254971,3.0074980707141847,success,19.19009251785521
replicate_7,pos15,96.75527005237498,43.750000000000014,0.004580767854231235,0.9664258963246617,3.0868285394039177,success,14.775114614269569
replicate_7,pos18,113.14774640066753,43.75000000000017,0.006235380511384097,0.9765132441123116,2.6259877104589644,success,12.663930527167805
replicate_7,pos2,116.74082779608034,43.750000000000455,0.004089958123610817,0.9258460257539164,5.816445651818823,success,15.636536729331233
replicate_7,pos22,75.62903658738573,43.75000000000001,0.005665089065331037,0.9811141809727849,1.6236155548573952,success,13.28607283474365
replicate_7,pos24,52.363832872835985,45.25000000000001,0.0026123890231978795,0.980368297942214,1.4092192076529353,success,19.565055079733842
replicate_7,pos3,122.99888734738681,43.75000000000001,0.004803130266834113,0.9797900339888628,2.8823669540834325,success,14.429052623124047
replicate_7,pos5,105.56099335958831,43.75000000000001,0.0040058972736531605,0.9761150118950415,2.855062711816491,success,15.799745662522632
replicate_7,pos6,114.68829125663943,42.25000000000651,1.0000000081865427e-12,0.8809431270846331,10.041142923985056,success,999999.9959067286
replicate_7,pos7,69.55398534324264,43.750000000027086,0.0049251662943748725,0.9424230768078043,2.7392013486699875,success,14.24916943547819
