replicate,pos,c_max,L,A,r2,rmse,status,r0
replicate_2,pos0,34.296637913933004,43.75000000000002,0.005242880331651902,0.922771779663916,2.5008311243101256,success,13.810678883234699
replicate_2,pos1,19.32877631832557,78.97107371937355,0.034615556974617885,0.8470817198177057,1.2457784923428774,success,5.374825117538389
replicate_2,pos2,31.58679352574566,43.75000000000001,0.004715319906731822,0.9534446429784399,1.744015863848351,success,14.562784363424262
replicate_2,pos3,41.2995274710431,43.75000000000001,0.0034668559377645505,0.9417081528108,2.719998747300916,success,16.983691885514947
replicate_2,pos4,36.324651997102954,43.75000000000001,0.007001728618835257,0.9537628344416016,1.9178266634873573,success,11.950810584697079
replicate_2,pos5,29.640059184754907,45.25000000000001,0.004027782520348459,0.9192944391098026,2.268523353310226,success,15.756762666644665
replicate_2,pos6,34.27969467609278,45.25000000000006,0.004274777553073258,0.92552398844202,2.5014294402910284,success,15.294780190330846
replicate_2,pos7,31.63354912665412,43.750000000000064,0.004967621398313674,0.9333065396473108,2.1331535168513343,success,14.188149482016236
replicate_2,pos8,32.10795320370043,45.25000000000001,0.006556261551888986,0.909648241065575,2.4589849836071656,success,12.350139541631144
replicate_2,pos9,36.77892598050914,45.25000000000001,0.00669216266539941,0.9435209368975668,2.1679759150350595,success,12.224096104628549
replicate_3,pos10,22.86034821002931,87.49999987085717,0.010044828404321852,0.9130606951265737,1.5660029750189228,success,9.977660876887278
replicate_3,pos11,34.90235043959282,43.75000000000001,0.0071254770903023045,0.9414908395494825,2.08259476951755,success,11.846580938039988
replicate_3,pos12,33.92679834186552,43.75000000000009,0.0050856896299240305,0.9188870836747354,2.554269981883939,success,14.02248789465549
replicate_3,pos13,37.7060577970453,43.75000000000001,0.005867719856252995,0.9530097421578131,2.0617985067969893,success,13.054652457442915
replicate_3,pos14,31.308841567570656,43.75000000000001,0.005274770409717193,0.9540570677776189,1.7051997116547726,success,13.76886745932809
replicate_3,pos15,32.70084705448376,45.25000000000001,0.006711018970169181,0.9441995620226445,1.9063338160101,success,12.206910679919865
replicate_3,pos16,36.488411715804126,43.75000000000001,0.004856861876293151,0.9627355462600389,1.807264233968641,success,14.34901612369723
replicate_3,pos17,31.837013444798107,87.49999999999989,0.015100580439155577,0.9603058053948955,1.3205265304114013,success,8.137728183384311
replicate_3,pos18,31.757898677938673,44.07515870485623,0.009963586810574868,0.9524295270647626,1.5813349797345946,success,10.018256468086614
replicate_3,pos19,35.90878782859181,43.75000000000003,0.004879987111924786,0.9510750796359787,2.047629691518407,success,14.314977260779639
replicate_3,pos20,36.9967281270124,43.75000000000021,0.005162533785216335,0.9567677664716975,1.9521880582465747,success,13.917734471583383
replicate_5,pos0,1.0163654952297567,87.49999999999999,1.0000000065755127e-12,,0.14316629442287482,success,999999.9967122435
replicate_5,pos1,15.577184955605407,87.49999999999999,0.01566498657057114,0.8019210306297275,1.5244503182700986,success,7.989783043727139
replicate_5,pos10,22.38182462776033,87.49999998260925,0.02675956512711078,0.8680414564404151,1.498235143323341,success,6.113085560030577
replicate_5,pos11,27.17965156776897,87.49999990527004,0.01151361040519478,0.8981934337222455,2.0011293021808494,success,9.3195348155656
replicate_5,pos12,26.791489146789882,87.4999999999977,0.012264116339595954,0.8855689637839017,2.082162107232125,success,9.029877718064261
replicate_5,pos2,17.958020816480747,87.43170462327518,0.05654252027713996,0.77338440642042,1.2086611026957026,success,4.205449466494097
replicate_5,pos3,5.012264251670486,90.49999999978041,0.003959768710330898,0.36064008855995267,1.5194336792326344,success,15.891507244386451
replicate_5,pos4,21.62532044829072,80.5640507976609,0.04122257217567867,0.8277650990528275,1.4222743776935656,success,4.925297368317028
replicate_5,pos5,22.68040189176597,88.42939613124277,0.022908922155674253,0.8589833467916264,1.6408293212704999,success,6.606899060416787
replicate_5,pos6,22.177052212457504,87.49999999999976,0.02035720656341577,0.9110194867412131,1.294412453946423,success,7.008755473805054
replicate_5,pos7,25.98030483727432,87.4999999999993,0.01505493297309805,0.9178426942089455,1.5916349913620602,success,8.150055887547015
replicate_5,pos8,21.76618154745498,76.57259579731053,0.0364778774888512,0.8084574151578302,1.6284833181031777,success,5.235826173562303
replicate_5,pos9,17.17183539184289,90.49999999999127,0.012605094947310838,0.8828397233653827,1.2958805876381696,success,8.906907443209548
