replicate,pos,y_bin,y_um,median_intensity
replicate_4,pos18,28,42.75,194.96059113300493
replicate_4,pos18,29,44.25,198.5483870967742
replicate_4,pos18,30,45.75,197.1782407407407
replicate_4,pos18,31,47.25,201.3548387096774
replicate_4,pos18,32,48.75,209.73655913978493
replicate_4,pos18,33,50.25,216.79295774647886
replicate_4,pos18,34,51.75,222.99657089898054
replicate_4,pos19,0,0.75,330.23043478260865
replicate_4,pos19,1,2.25,384.8594276094276
replicate_4,pos19,2,3.75,393.3717008797654
replicate_4,pos19,3,5.25,413.8094758064516
replicate_4,pos19,4,6.75,415.3333333333333
replicate_4,pos19,5,8.25,411.6938775510204
replicate_4,pos19,6,9.75,395.8888888888889
replicate_4,pos19,7,11.25,382.0639880952381
replicate_4,pos19,8,12.75,347.80645161290323
replicate_4,pos19,9,14.25,343.8181818181818
replicate_4,pos19,10,15.75,360.74077112387204
replicate_4,pos19,11,17.25,382.0761140819964
replicate_4,pos19,12,18.75,336.17931688804555
replicate_4,pos19,13,20.25,277.35526315789474
replicate_4,pos19,14,21.75,280.47858796296293
replicate_4,pos19,15,23.25,258.54354765161884
replicate_4,pos19,16,24.75,260.5544176706827
replicate_4,pos19,17,26.25,250.61397849462367
replicate_4,pos19,18,27.75,253.1864406779661
replicate_4,pos19,19,29.25,251.3870967741935
replicate_4,pos19,20,30.75,238.82
replicate_4,pos19,21,32.25,237.01356707317072
replicate_4,pos19,22,33.75,229.1412294647589
replicate_4,pos19,23,35.25,215.2465277777778
replicate_4,pos19,24,36.75,215.02969247083774
replicate_4,pos19,25,38.25,218.33333333333337
replicate_4,pos19,26,39.75,212.72857142857143
replicate_4,pos19,27,41.25,211.07954545454547
replicate_4,pos19,28,42.75,208.54430379746836
replicate_4,pos19,29,44.25,210.11363636363637
replicate_4,pos19,30,45.75,217.01388888888889
replicate_4,pos19,31,47.25,226.21875
replicate_4,pos19,32,48.75,225.3134328358209
replicate_4,pos19,33,50.25,237.5897435897436
replicate_4,pos19,34,51.75,245.39732770745428
replicate_4,pos23,0,0.75,245.7301797040169
replicate_4,pos23,1,2.25,280.2911392405063
replicate_4,pos23,2,3.75,297.6456730769231
replicate_4,pos23,3,5.25,314.48275862068965
replicate_4,pos23,4,6.75,294.1111111111111
replicate_4,pos23,5,8.25,290.7
replicate_4,pos23,6,9.75,276.68
replicate_4,pos23,7,11.25,265.0
replicate_4,pos23,8,12.75,239.11832611832614
replicate_4,pos23,9,14.25,232.65564516129032
replicate_4,pos23,10,15.75,247.32570806100216
replicate_4,pos23,11,17.25,229.56309523809523
replicate_4,pos23,12,18.75,223.35587044534412
replicate_4,pos23,13,20.25,217.03508771929825
replicate_4,pos23,14,21.75,208.8125
replicate_4,pos23,15,23.25,199.61111111111111
replicate_4,pos23,16,24.75,198.83333333333337
replicate_4,pos23,17,26.25,197.74358974358975
replicate_4,pos23,18,27.75,187.37704918032787
replicate_4,pos23,19,29.25,185.56521739130432
replicate_4,pos23,20,30.75,182.3947368421053
replicate_4,pos23,21,32.25,181.46296296296296
replicate_4,pos23,22,33.75,179.58139534883722
replicate_4,pos23,23,35.25,176.8115468409586
replicate_4,pos23,24,36.75,175.57777777777778
replicate_4,pos23,25,38.25,174.76
replicate_4,pos23,26,39.75,173.675
replicate_4,pos23,27,41.25,171.59334334334335
replicate_4,pos23,28,42.75,170.88141711229946
replicate_4,pos23,29,44.25,174.4189189189189
replicate_4,pos23,30,45.75,176.58823529411765
replicate_4,pos23,31,47.25,177.0032114624506
replicate_4,pos23,32,48.75,180.8955223880597
replicate_4,pos23,33,50.25,187.42964899178492
replicate_4,pos23,34,51.75,193.16666666666663
replicate_4,pos34,0,0.75,295.08045977011494
replicate_4,pos34,1,2.25,332.58024691358025
replicate_4,pos34,2,3.75,358.6462515011151
replicate_4,pos34,3,5.25,392.63010204081627
replicate_4,pos34,4,6.75,398.6109123434705
replicate_4,pos34,5,8.25,373.68831168831167
replicate_4,pos34,6,9.75,371.1189393939394
replicate_4,pos34,7,11.25,354.962962962963
replicate_4,pos34,8,12.75,321.17490118577075
replicate_4,pos34,9,14.25,331.58490566037733
replicate_4,pos34,10,15.75,339.4
replicate_4,pos34,11,17.25,306.7391304347826
replicate_4,pos34,12,18.75,275.37412587412587
replicate_4,pos34,13,20.25,257.9130434782609
replicate_4,pos34,14,21.75,260.1794871794872
replicate_4,pos34,15,23.25,250.4931506849315
replicate_4,pos34,16,24.75,246.7651515151515
replicate_4,pos34,17,26.25,224.99264705882354
replicate_4,pos34,18,27.75,214.55769230769232
replicate_4,pos34,19,29.25,207.67307692307693
replicate_4,pos34,20,30.75,196.60416666666663
replicate_4,pos34,21,32.25,202.90625
replicate_4,pos34,22,33.75,201.16147786946738
replicate_4,pos34,23,35.25,198.3691983122363
replicate_4,pos34,24,36.75,193.30263157894737
replicate_4,pos34,25,38.25,191.05555555555551
replicate_4,pos34,26,39.75,189.20619235836628
replicate_4,pos34,27,41.25,190.47619047619048
replicate_4,pos34,28,42.75,189.48611111111111
replicate_4,pos34,29,44.25,190.01502932551318
replicate_4,pos34,30,45.75,194.22212885154062
replicate_4,pos34,31,47.25,200.12280701754383
replicate_4,pos34,32,48.75,200.01470588235293
replicate_4,pos34,33,50.25,206.26530612244895
replicate_4,pos34,34,51.75,212.1794871794872
replicate_4,pos36,0,0.75,344.7481777403981
replicate_4,pos36,1,2.25,400.1818181818182
replicate_4,pos36,2,3.75,456.27619047619044
replicate_4,pos36,3,5.25,505.2972972972973
replicate_4,pos36,4,6.75,550.5
replicate_4,pos36,5,8.25,607.2280858676208
replicate_4,pos36,6,9.75,545.5662790697675
replicate_4,pos36,7,11.25,490.8292682926829
replicate_4,pos36,8,12.75,526.6527777777778
replicate_4,pos36,9,14.25,486.6
replicate_4,pos36,10,15.75,428.41085840058696
replicate_4,pos36,11,17.25,370.09090909090907
replicate_4,pos36,12,18.75,372.27272727272725
replicate_4,pos36,13,20.25,345.8767123287671
replicate_4,pos36,14,21.75,321.7667483660131
replicate_4,pos36,15,23.25,316.94680851063833
replicate_4,pos36,16,24.75,281.6166666666667
replicate_4,pos36,17,26.25,279.5708333333333
replicate_4,pos36,18,27.75,266.74603174603175
replicate_4,pos36,19,29.25,249.28735632183907
replicate_4,pos36,20,30.75,241.58436781609197
replicate_4,pos36,21,32.25,241.43078460769615
replicate_4,pos36,22,33.75,233.43710317460318
replicate_4,pos36,23,35.25,225.92592592592592
replicate_4,pos36,24,36.75,219.54839743589744
replicate_4,pos36,25,38.25,215.28070175438597
replicate_4,pos36,26,39.75,207.8421052631579
replicate_4,pos36,27,41.25,208.90235690235687
replicate_4,pos36,28,42.75,209.23684210526315
replicate_4,pos36,29,44.25,212.84337349397592
replicate_4,pos36,30,45.75,210.74285714285713
replicate_4,pos36,31,47.25,217.19945652173914
replicate_4,pos36,32,48.75,226.2985185185185
