replicate,pos,y_bin,y_um,median_intensity
replicate_2,pos2,15,23.25,2183.7668103448277
replicate_2,pos2,16,24.75,2218.4748062015506
replicate_2,pos2,17,26.25,2002.6352699530516
replicate_2,pos2,18,27.75,1974.3506535947713
replicate_2,pos2,19,29.25,1933.3151455835578
replicate_2,pos2,20,30.75,1904.754716981132
replicate_2,pos2,21,32.25,1809.0688405797102
replicate_2,pos2,22,33.75,1812.2747419550697
replicate_2,pos2,23,35.25,1805.0232558139537
replicate_2,pos2,24,36.75,1822.9019607843136
replicate_2,pos2,25,38.25,1796.5358851674641
replicate_2,pos2,26,39.75,1735.4093652826048
replicate_2,pos2,27,41.25,1737.952380952381
replicate_2,pos2,28,42.75,1697.657894736842
replicate_2,pos2,29,44.25,1662.032258064516
replicate_2,pos2,30,45.75,1741.764705882353
replicate_2,pos2,31,47.25,1741.9310344827586
replicate_2,pos2,32,48.75,1666.2777777777778
replicate_2,pos2,33,50.25,1650.5685194672133
replicate_2,pos2,34,51.75,1685.3398816373501
replicate_2,pos3,0,0.75,3285.733333333333
replicate_2,pos3,1,2.25,3422.5967741935483
replicate_2,pos3,2,3.75,3307.7241379310344
replicate_2,pos3,3,5.25,3343.8125
replicate_2,pos3,4,6.75,3250.097536945813
replicate_2,pos3,5,8.25,3028.385807990459
replicate_2,pos3,6,9.75,3112.9827586206898
replicate_2,pos3,7,11.25,3079.907187323147
replicate_2,pos3,8,12.75,2988.935483870968
replicate_2,pos3,9,14.25,2686.2631578947367
replicate_2,pos3,10,15.75,2609.438596491228
replicate_2,pos3,11,17.25,2557.722222222222
replicate_2,pos3,12,18.75,2516.2380952380954
replicate_2,pos3,13,20.25,2509.56
replicate_2,pos3,14,21.75,2354.3661971830984
replicate_2,pos3,15,23.25,2337.9965909090906
replicate_2,pos3,16,24.75,2195.6355072463766
replicate_2,pos3,17,26.25,2086.2915646258502
replicate_2,pos3,18,27.75,2070.6615384615384
replicate_2,pos3,19,29.25,2008.5855442176871
replicate_2,pos3,20,30.75,2009.6491228070176
replicate_2,pos3,21,32.25,1850.3023255813953
replicate_2,pos3,22,33.75,1862.1935483870968
replicate_2,pos3,23,35.25,1780.016693163752
replicate_2,pos3,24,36.75,1833.2696428571428
replicate_2,pos3,25,38.25,1814.9063492063492
replicate_2,pos3,26,39.75,1766.8507462686566
replicate_2,pos3,27,41.25,1835.1786273194725
replicate_2,pos3,28,42.75,1746.9209039548023
replicate_2,pos3,29,44.25,1773.658316008316
replicate_2,pos3,30,45.75,1801.40350877193
replicate_2,pos3,31,47.25,1877.4135723431498
replicate_2,pos3,32,48.75,1823.0105263157895
replicate_2,pos3,33,50.25,1776.679487179487
replicate_2,pos3,34,51.75,1902.8141114982577
replicate_2,pos4,0,0.75,3113.0553174117167
replicate_2,pos4,1,2.25,3130.965909090909
replicate_2,pos4,2,3.75,3121.1145662847794
replicate_2,pos4,3,5.25,2942.540864356012
replicate_2,pos4,4,6.75,2834.24657814096
replicate_2,pos4,5,8.25,2752.599903241413
replicate_2,pos4,6,9.75,2751.3205128205127
replicate_2,pos4,7,11.25,2687.1315789473683
replicate_2,pos4,8,12.75,2491.8371266002846
replicate_2,pos4,9,14.25,2488.9375
replicate_2,pos4,10,15.75,2223.1477272727275
replicate_2,pos4,11,17.25,2214.5344827586205
replicate_2,pos4,12,18.75,2107.054054054054
replicate_2,pos4,13,20.25,2188.5476190476193
replicate_2,pos4,14,21.75,2101.8478260869565
replicate_2,pos4,15,23.25,2012.764705882353
replicate_2,pos4,16,24.75,1938.2
replicate_2,pos4,17,26.25,1837.4897959183672
replicate_2,pos4,18,27.75,1848.1831578947367
replicate_2,pos4,19,29.25,1781.1626506024095
replicate_2,pos4,20,30.75,1755.576227390181
replicate_2,pos4,21,32.25,1739.1851851851852
replicate_2,pos4,22,33.75,1699.420218579235
replicate_2,pos4,23,35.25,1717.3076923076922
replicate_2,pos4,24,36.75,1705.9847560975609
replicate_2,pos4,25,38.25,1712.925
replicate_2,pos4,26,39.75,1714.4458262671942
replicate_2,pos4,27,41.25,1699.1431010928961
replicate_2,pos4,28,42.75,1690.708590138675
replicate_2,pos4,29,44.25,1626.571428571429
replicate_2,pos4,30,45.75,1645.15625
replicate_2,pos4,31,47.25,1713.6363636363635
replicate_2,pos4,32,48.75,1679.834249084249
replicate_2,pos4,33,50.25,1681.01
replicate_2,pos4,34,51.75,1755.370026525199
replicate_2,pos5,0,0.75,2687.889967637541
replicate_2,pos5,1,2.25,2827.6923076923076
replicate_2,pos5,2,3.75,2931.342857142857
replicate_2,pos5,3,5.25,2963.942528735632
replicate_2,pos5,4,6.75,2785.951219512195
replicate_2,pos5,5,8.25,2722.7916666666665
replicate_2,pos5,6,9.75,2637.962962962963
replicate_2,pos5,7,11.25,2616.562937062937
replicate_2,pos5,8,12.75,2569.1449530516434
replicate_2,pos5,9,14.25,2446.9188006828854
replicate_2,pos5,10,15.75,2363.937519872814
replicate_2,pos5,11,17.25,2330.5735744355147
replicate_2,pos5,12,18.75,2409.1891771019677
replicate_2,pos5,13,20.25,2261.5959513435005
replicate_2,pos5,14,21.75,2209.813655761024
replicate_2,pos5,15,23.25,2168.67963314358
replicate_2,pos5,16,24.75,2022.3728864734298
replicate_2,pos5,17,26.25,2023.6612903225807
replicate_2,pos5,18,27.75,1955.0526315789473
replicate_2,pos5,19,29.25,1830.1060606060605
replicate_2,pos5,20,30.75,1783.3243243243244
replicate_2,pos5,21,32.25,1741.5873015873017
replicate_2,pos5,22,33.75,1666.322033898305
replicate_2,pos5,23,35.25,1712.3472222222222
replicate_2,pos5,24,36.75,1717.8846153846157
replicate_2,pos5,25,38.25,1674.0172413793102
replicate_2,pos5,26,39.75,1699.179487179487
replicate_2,pos5,27,41.25,1556.6580957978254
replicate_2,pos5,28,42.75,1586.025641025641
replicate_2,pos5,29,44.25,1718.625822368421
replicate_2,pos5,30,45.75,1622.9605263157894
replicate_2,pos5,31,47.25,1642.0
replicate_2,pos5,32,48.75,1706.8731343283582
replicate_2,pos5,33,50.25,1649.3076923076924
replicate_2,pos5,34,51.75,1692.4225352112676
replicate_2,pos5,35,53.25,1641.6369047619046
replicate_2,pos6,0,0.75,3006.25
replicate_2,pos6,1,2.25,3117.162393162393
replicate_2,pos6,2,3.75,3020.47380952381
replicate_2,pos6,3,5.25,2929.04
replicate_2,pos6,4,6.75,2942.0606854838707
replicate_2,pos6,5,8.25,2930.409107402032
replicate_2,pos6,6,9.75,2830.4052631578948
replicate_2,pos6,7,11.25,2661.6158602150535
replicate_2,pos6,8,12.75,2600.899428274428
replicate_2,pos6,9,14.25,2585.7045454545455
replicate_2,pos6,10,15.75,2528.970779220779
replicate_2,pos6,11,17.25,2370.698113207547
replicate_2,pos6,12,18.75,2500.4675324675327
replicate_2,pos6,13,20.25,2315.327215189873
replicate_2,pos6,14,21.75,2290.4646317829456
replicate_2,pos6,15,23.25,2169.1078260869563
replicate_2,pos6,16,24.75,2027.4541666666664
replicate_2,pos6,17,26.25,1956.861111111111
replicate_2,pos6,18,27.75,1966.12987012987
replicate_2,pos6,19,29.25,1883.615626511853
replicate_2,pos6,20,30.75,1846.7020933977456
replicate_2,pos6,21,32.25,1789.4886363636365
replicate_2,pos6,22,33.75,1741.1857142857143
replicate_2,pos6,23,35.25,1835.356542617047
replicate_2,pos6,24,36.75,1799.358378870674
replicate_2,pos6,25,38.25,1771.870053475936
replicate_2,pos6,26,39.75,1753.340909090909
replicate_2,pos6,27,41.25,1702.090909090909
replicate_2,pos6,28,42.75,1664.455337690632
replicate_2,pos6,29,44.25,1710.4375
replicate_2,pos6,30,45.75,1706.809523809524
replicate_2,pos6,31,47.25,1667.6301907968575
replicate_2,pos6,32,48.75,1721.557142857143
replicate_2,pos6,33,50.25,1638.638888888889
replicate_2,pos6,34,51.75,1639.5234375
replicate_2,pos6,35,53.25,1808.8
replicate_2,pos7,0,0.75,2738.4313725490197
replicate_2,pos7,1,2.25,2929.275
replicate_2,pos7,2,3.75,3025.4586890243904
replicate_2,pos7,3,5.25,2904.0470588235294
replicate_2,pos7,4,6.75,2786.0155332681015
replicate_2,pos7,5,8.25,2649.25
replicate_2,pos7,6,9.75,2794.0
replicate_2,pos7,7,11.25,2587.85
replicate_2,pos7,8,12.75,2508.100378787879
replicate_2,pos7,9,14.25,2461.0169491525426
replicate_2,pos7,10,15.75,2389.123287671233
replicate_2,pos7,11,17.25,2278.1174603174604
replicate_2,pos7,12,18.75,2308.68
replicate_2,pos7,13,20.25,2228.146753246753
replicate_2,pos7,14,21.75,2178.0285714285715
replicate_2,pos7,15,23.25,2049.9764204545454
replicate_2,pos7,16,24.75,2062.2166666666667
replicate_2,pos7,17,26.25,1975.5247727272726
replicate_2,pos7,18,27.75,1870.046551724138
replicate_2,pos7,19,29.25,1914.732142857143
replicate_2,pos7,20,30.75,1828.9597402597403
replicate_2,pos7,21,32.25,1727.918918918919
replicate_2,pos7,22,33.75,1720.9142857142858
replicate_2,pos7,23,35.25,1717.1362085769981
replicate_2,pos7,24,36.75,1679.6805555555557
replicate_2,pos7,25,38.25,1696.0783866057839
replicate_2,pos7,26,39.75,1769.920158450704
replicate_2,pos7,27,41.25,1681.9846153846154
replicate_2,pos7,28,42.75,1728.6643818544367
replicate_2,pos7,29,44.25,1678.4741666666666
replicate_2,pos7,30,45.75,1713.3529411764705
replicate_2,pos7,31,47.25,1741.7727272727273
replicate_2,pos7,32,48.75,1768.246753246753
replicate_2,pos7,33,50.25,1773.348484848485
replicate_2,pos7,34,51.75,1610.395983935743
replicate_2,pos8,0,0.75,2741.604938271605
replicate_2,pos8,1,2.25,2906.6836384439357
replicate_2,pos8,2,3.75,2950.1494252873563
replicate_2,pos8,3,5.25,2717.5015432098767
