replicate,pos,c0,L,A,r2,rmse,status,r0
replicate_5,pos0,111.68845189626477,82.25928687366444,0.0014069810863008866,0.8848498566868791,6.526007341428026,success,26.659737587062523
replicate_5,pos1,158.489530485822,65.14510838138197,0.0016684059224733741,0.9273221408750604,7.300683829913176,success,24.482126554504212
replicate_5,pos2,159.56066372415006,61.37974182432678,0.001573748797509521,0.8968675054027841,9.249268150551279,success,25.207646180329423
replicate_5,pos3,54.500822587882915,72.64323109799619,0.00019049338041764202,0.9235007216186584,2.25507390458822,success,72.4536144370576
replicate_5,pos4,49.95896136139935,84.49999999980128,0.0003135180903332625,0.913100456197524,2.0724119585370624,success,56.476620020912726
replicate_5,pos5,41.88615803534263,65.48215207412667,1.0013552745729722e-12,0.9267085716300932,1.7898646202966044,success,999323.0507249588
replicate_5,pos6,47.18557713402414,87.49999999999825,0.00044701786374854786,0.8924597354103567,2.220246088278692,success,47.29743190463388
replicate_5,pos7,75.86671055668661,84.49999999999494,0.0012192074389479723,0.893467537652502,3.91664322051406,success,28.639220821684688
replicate_5,pos8,68.57734676140697,84.49999999999314,0.0011399966933556334,0.8930493461897674,3.4840096107477208,success,29.61748684171209
replicate_5,pos9,67.69010548825948,84.49999999999848,0.0008410298349827211,0.9005526363057205,3.25469366938762,success,34.48214698862327
replicate_7,pos0,157.03586960160132,66.59683009770787,0.0030532194021271305,0.9329206905427467,6.789230675736261,success,18.097600341902076
replicate_7,pos1,46.82900336726197,63.0540534021045,5.4939370361574786e-05,0.9679765049308131,1.3512586918759302,success,134.91435489325153
replicate_7,pos15,61.97149341560246,68.76202997982439,0.0009319899948258672,0.9686396677526683,1.8319317667039305,success,32.756264926453376
replicate_7,pos18,66.47666620492399,87.49999999999962,0.0009911895124549422,0.9333725695996171,2.6850552267853867,success,31.763009967985774
replicate_7,pos2,83.62001740314193,87.49999999999999,0.0014367579835114206,0.9061064235531746,4.2816738673052415,success,26.38202882356709
replicate_7,pos22,44.079091176157284,54.43504557766985,0.00017181580042048463,0.9801139798031006,1.1887492954137049,success,76.29014672821475
replicate_7,pos24,40.4022264852118,67.41753998261525,1.0000000013890426e-12,0.9813419373030453,0.89381661479412,success,999999.9993054788
replicate_7,pos3,80.95887356925074,87.49999999999999,0.0014792834679883936,0.9644127324590871,2.4452983323299784,success,26.000056883504673
replicate_7,pos5,71.02923723693603,87.49999999999999,0.0012175364102922225,0.9758585188070009,1.7685276805554162,success,28.658867277018754
replicate_7,pos6,121.9724536040672,48.72950641787312,1.0000000000013595e-12,0.8214813413053461,11.609948717450957,success,999999.9999993203
replicate_7,pos7,44.756382848292,87.49999999999999,0.00034232216385623017,0.9346869136296716,1.6246564494482283,success,54.04835627138745
